epoch,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,datetime,dataset,mri_types
0,2.5065672397613525,-1.591082215309143,0.16339901089668274,0.9209079742431641,0.07909198105335236,0.06384967267513275,0.08798962086439133,0.5421535372734071,0.9154854416847228,0.5312247276306152,2019-07-01 15:25:12.607184,brats,MR_T1
0,2.4734909534454346,-1.575365424156189,0.3129287660121918,0.9602181315422058,0.03978170827031136,0.23069603741168976,0.24988849461078644,0.6365736722946167,0.8981254100799559,0.511436402797699,2019-07-01 15:25:28.973115,brats,MR_T1c
0,2.472208976745605,-1.5903486013412476,0.5966919660568237,0.9701159000396729,0.029884252697229382,0.3765579164028168,0.4517899751663208,0.7834038734436035,0.881860613822937,0.5034537315368652,2019-07-01 15:25:45.782212,brats,MR_T2
0,2.4510865211486816,-1.5887705087661743,0.8272095918655396,0.9900290966033936,0.009970747865736485,0.7020838856697083,0.7523268461227417,0.9086194038391112,0.8623160123825073,0.49122262001037603,2019-07-01 15:26:01.939542,brats,MR_Flair
0,2.3127422332763667,-1.326580047607422,0.033227480947971344,0.9617156982421876,0.03828396648168564,0.0035536710638552904,0.006319665350019932,0.4974717795848846,0.9861617088317872,0.5149496793746948,2019-07-01 15:26:24.218574,bd2decide,T1
0,2.3856546878814697,-1.3998421430587769,0.06215887889266013,0.966055154800415,0.03394496813416481,0.004911616910248996,0.008765795268118382,0.5141070485115051,0.9858121275901794,0.5121694803237915,2019-07-01 15:26:45.107493,bd2decide,T2
0,2.5065672397613525,-1.591082215309143,0.16339901089668274,0.920907974243164,0.07909198105335236,0.06384967267513275,0.08798962086439133,0.5421535372734071,0.9154854416847228,0.5312247276306152,2019-07-03 09:59:34.785759,,
0,2.4734909534454346,-1.575365424156189,0.3129287660121918,0.9602181315422058,0.03978170827031136,0.23069603741168976,0.24988849461078644,0.6365736722946167,0.8981254100799559,0.511436402797699,2019-07-03 09:59:51.266697,,
0,2.472208976745605,-1.5903486013412476,0.5966919660568237,0.9701159000396729,0.029884252697229382,0.3765579164028168,0.4517899751663208,0.7834038734436035,0.881860613822937,0.5034537315368652,2019-07-03 10:00:08.196222,,
0,2.4510865211486816,-1.5887705087661743,0.8272095918655396,0.9900290966033936,0.009970747865736485,0.7020838856697083,0.7523268461227417,0.9086194038391112,0.8623160123825073,0.491222620010376,2019-07-03 10:00:24.289109,,
0,2.3127422332763667,-1.326580047607422,0.033227480947971344,0.9617156982421876,0.03828396648168564,0.0035536710638552904,0.006319665350019932,0.4974717795848846,0.9861617088317872,0.5149496793746948,2019-07-03 10:00:45.715284,,
0,2.3856546878814697,-1.3998421430587769,0.06215887889266014,0.966055154800415,0.03394496813416481,0.004911616910248995,0.008765795268118382,0.5141070485115051,0.9858121275901794,0.5121694803237915,2019-07-03 10:01:06.721090,,
